NT,Dt,QmT,TT,C,Si,Mn,P,Cr,Mo,RedRatio,dA
885,0.0,0.09990663261042423,6084.408143676187,0.26,-8.598838065875096,-1.1585584173337025,0.017,0.02,0.0,2.6082567867567765,0.07
885,0.0,0.09990663261042423,6084.408143676187,0.25,-11.514168382341861,-1.1585584173337025,0.009,0.12,0.0,2.577049967800078,0.11
885,0.0,0.09990663261042423,6084.408143676187,0.26,-5.277059877750306,-1.203153003059933,0.008,0.03,0.0,2.647553924957032,0.07
885,0.0,0.09990663261042423,6084.408143676187,0.26,-7.220659806322844,-0.8908267046872109,0.018,0.02,0.0,2.672753677331678,0.06
885,0.0,0.09990663261042423,6084.408143676187,0.22,-10.398759046564974,-1.249649851002735,0.026,0.02,0.0,2.6082567867567765,0.04
885,0.0,0.09990663261042423,6084.408143676187,0.26,-7.86602829251651,-1.115747631948181,0.026,0.05,0.0,2.6082567867567765,0.06
885,0.0,0.09990663261042423,6084.408143676187,0.28,-5.277059877750306,-0.9249375244797101,0.021,0.03,0.0,2.647553924957032,0.08
885,0.0,0.09990663261042423,6084.408143676187,0.27,-6.1404601644172025,-0.7953314872642685,0.02,0.02,0.0,2.672753677331678,0.07
885,0.0,0.09990663261042423,6084.408143676187,0.27,-7.220659806322844,-1.5156590370420044,0.008,0.1,0.0,2.577049967800078,0.08
885,0.0,0.09990663261042423,6084.408143676187,0.22,-5.685580385048902,-1.0350516003929908,0.021,0.02,0.0,2.647553924957032,0.04
885,0.0,0.09990663261042423,6084.408143676187,0.23,-5.685580385048902,-0.8908267046872109,0.029,0.03,0.0,2.672753677331678,0.11
865,0.0,0.09990663261042423,25846489.75389051,0.35,-8.598838065875096,-0.2905362453764017,0.021,0.01,0.0,2.6082567867567765,0.05
865,0.0,0.09990663261042423,25846489.75389051,0.35,-4.272606675877854,-0.3402479649868885,0.017,0.1,0.0,2.647553924957032,0.07
865,0.0,0.09990663261042423,25846489.75389051,0.34,-5.685580385048902,-0.3402479649868885,0.012,0.02,0.0,2.672753677331678,0.08
865,0.0,0.09990663261042423,25846489.75389051,0.36,-5.685580385048902,-0.41245107500058076,0.009,0.12,0.0,2.577049967800078,0.07
865,0.0,0.09990663261042423,25846489.75389051,0.33,-8.598838065875096,-0.323280777877089,0.031,0.03,0.0,2.6082567867567765,0.08
865,0.0,0.09990663261042423,25846489.75389051,0.38,-4.575345838200093,-0.41245107500058076,0.01,0.09,0.0,2.577049967800078,0.06
865,0.0,0.09990663261042423,25846489.75389051,0.33,-5.685580385048902,-0.3067150704567288,0.023,0.1,0.0,2.647553924957032,0.08
865,0.0,0.09990663261042423,25846489.75389051,0.32,-5.685580385048902,-0.3576319871276518,0.015,0.02,0.0,2.672753677331678,0.06
865,0.0,0.09990663261042423,25846489.75389051,0.37,-5.277059877750306,-0.27473041661123454,0.016,0.11,0.0,2.647553924957032,0.13
865,0.0,0.09990663261042423,25846489.75389051,0.35,-6.1404601644172025,-0.21498190490746694,0.016,0.01,0.0,2.6082567867567765,0.07
865,0.0,0.09990663261042423,25846489.75389051,0.37,-6.649145309848455,-0.37544900805203946,0.015,0.02,0.0,2.672753677331678,0.1
865,0.0,0.09990663261042423,25846489.75389051,0.32,-8.598838065875096,-0.5584330709321458,0.007,0.1,0.0,2.577049967800078,0.06
865,0.0,0.09990663261042423,33184415.759641033,0.35,-8.598838065875096,-0.2905362453764017,0.021,0.01,0.0,2.6082567867567765,0.05
865,0.0,0.09990663261042423,33184415.759641033,0.35,-4.272606675877854,-0.3402479649868885,0.017,0.1,0.0,2.647553924957032,0.07
865,0.0,0.09990663261042423,33184415.759641033,0.34,-5.685580385048902,-0.3402479649868885,0.012,0.02,0.0,2.672753677331678,0.08
865,0.0,0.09990663261042423,33184415.759641033,0.36,-5.685580385048902,-0.41245107500058076,0.009,0.12,0.0,2.577049967800078,0.07
865,0.0,0.09990663261042423,33184415.759641033,0.33,-8.598838065875096,-0.323280777877089,0.031,0.03,0.0,2.6082567867567765,0.08
865,0.0,0.09990663261042423,33184415.759641033,0.38,-4.575345838200093,-0.41245107500058076,0.01,0.09,0.0,2.577049967800078,0.06
865,0.0,0.09990663261042423,33184415.759641033,0.33,-5.685580385048902,-0.3067150704567288,0.023,0.1,0.0,2.647553924957032,0.08
865,0.0,0.09990663261042423,33184415.759641033,0.32,-5.685580385048902,-0.3576319871276518,0.015,0.02,0.0,2.672753677331678,0.06
865,0.0,0.09990663261042423,33184415.759641033,0.37,-5.277059877750306,-0.27473041661123454,0.016,0.11,0.0,2.647553924957032,0.13
865,0.0,0.09990663261042423,33184415.759641033,0.35,-6.1404601644172025,-0.21498190490746694,0.016,0.01,0.0,2.6082567867567765,0.07
865,0.0,0.09990663261042423,33184415.759641033,0.37,-6.649145309848455,-0.37544900805203946,0.015,0.02,0.0,2.672753677331678,0.1
865,0.0,0.09990663261042423,33184415.759641033,0.32,-8.598838065875096,-0.5584330709321458,0.007,0.1,0.0,2.577049967800078,0.06
865,0.0,0.09990663261042423,41761346.72797931,0.35,-8.598838065875096,-0.2905362453764017,0.021,0.01,0.0,2.6082567867567765,0.05
865,0.0,0.09990663261042423,41761346.72797931,0.35,-4.272606675877854,-0.3402479649868885,0.017,0.1,0.0,2.647553924957032,0.07
865,0.0,0.09990663261042423,41761346.72797931,0.34,-5.685580385048902,-0.3402479649868885,0.012,0.02,0.0,2.672753677331678,0.08
865,0.0,0.09990663261042423,41761346.72797931,0.36,-5.685580385048902,-0.41245107500058076,0.009,0.12,0.0,2.577049967800078,0.07
865,0.0,0.09990663261042423,41761346.72797931,0.33,-8.598838065875096,-0.323280777877089,0.031,0.03,0.0,2.6082567867567765,0.08
865,0.0,0.09990663261042423,41761346.72797931,0.38,-4.575345838200093,-0.41245107500058076,0.01,0.09,0.0,2.577049967800078,0.06
865,0.0,0.09990663261042423,41761346.72797931,0.33,-5.685580385048902,-0.3067150704567288,0.023,0.1,0.0,2.647553924957032,0.08
865,0.0,0.09990663261042423,41761346.72797931,0.32,-5.685580385048902,-0.3576319871276518,0.015,0.02,0.0,2.672753677331678,0.06
865,0.0,0.09990663261042423,41761346.72797931,0.37,-5.277059877750306,-0.27473041661123454,0.016,0.11,0.0,2.647553924957032,0.13
865,0.0,0.09990663261042423,41761346.72797931,0.35,-6.1404601644172025,-0.21498190490746694,0.016,0.01,0.0,2.6082567867567765,0.07
865,0.0,0.09990663261042423,41761346.72797931,0.37,-6.649145309848455,-0.37544900805203946,0.015,0.02,0.0,2.672753677331678,0.1
865,0.0,0.09990663261042423,41761346.72797931,0.32,-8.598838065875096,-0.5584330709321458,0.007,0.1,0.0,2.577049967800078,0.06
845,0.0,0.09990663261042423,25846489.75389051,0.45,-6.1404601644172025,-0.25928436622159773,0.018,0.13,0.0,2.672753677331678,0.07
845,0.0,0.09990663261042423,25846489.75389051,0.45,-5.685580385048902,-0.3067150704567288,0.027,0.11,0.0,2.647553924957032,0.12
845,0.0,0.09990663261042423,25846489.75389051,0.45,-6.649145309848455,-0.39371605445286856,0.01,0.06,0.0,2.577049967800078,0.06
845,0.0,0.09990663261042423,25846489.75389051,0.44,-6.649145309848455,-0.21498190490746694,0.021,0.02,0.0,2.6082567867567765,0.1
845,0.0,0.09990663261042423,25846489.75389051,0.42,-7.86602829251651,-0.27473041661123454,0.022,0.02,0.0,2.6082567867567765,0.11
845,0.0,0.09990663261042423,25846489.75389051,0.48,-6.1404601644172025,-0.323280777877089,0.024,0.1,0.0,2.672753677331678,0.08
845,0.0,0.09990663261042423,25846489.75389051,0.47,-6.1404601644172025,-0.37544900805203946,0.015,0.04,0.0,2.577049967800078,0.04
845,0.0,0.09990663261042423,25846489.75389051,0.43,-7.86602829251651,-0.20085480542780407,0.017,0.12,0.0,2.672753677331678,0.06
845,0.0,0.09990663261042423,25846489.75389051,0.49,-5.685580385048902,-0.24418550425050461,0.027,0.09,0.0,2.647553924957032,0.13
845,0.0,0.09990663261042423,25846489.75389051,0.45,-6.1404601644172025,-0.25928436622159773,0.011,0.04,0.0,2.577049967800078,0.09
845,0.0,0.09990663261042423,25846489.75389051,0.42,-5.685580385048902,-0.41245107500058076,0.024,0.1,0.0,2.647553924957032,0.04
845,0.0,0.09990663261042423,33184415.759641033,0.45,-6.1404601644172025,-0.25928436622159773,0.018,0.13,0.0,2.672753677331678,0.07
845,0.0,0.09990663261042423,33184415.759641033,0.45,-5.685580385048902,-0.3067150704567288,0.027,0.11,0.0,2.647553924957032,0.12
845,0.0,0.09990663261042423,33184415.759641033,0.45,-6.649145309848455,-0.39371605445286856,0.01,0.06,0.0,2.577049967800078,0.06
845,0.0,0.09990663261042423,33184415.759641033,0.44,-6.649145309848455,-0.21498190490746694,0.021,0.02,0.0,2.6082567867567765,0.1
845,0.0,0.09990663261042423,33184415.759641033,0.42,-7.86602829251651,-0.27473041661123454,0.022,0.02,0.0,2.6082567867567765,0.11
845,0.0,0.09990663261042423,33184415.759641033,0.48,-6.1404601644172025,-0.323280777877089,0.024,0.1,0.0,2.672753677331678,0.08
845,0.0,0.09990663261042423,33184415.759641033,0.47,-6.1404601644172025,-0.37544900805203946,0.015,0.04,0.0,2.577049967800078,0.04
845,0.0,0.09990663261042423,33184415.759641033,0.43,-7.86602829251651,-0.20085480542780407,0.017,0.12,0.0,2.672753677331678,0.06
845,0.0,0.09990663261042423,33184415.759641033,0.49,-5.685580385048902,-0.24418550425050461,0.027,0.09,0.0,2.647553924957032,0.13
845,0.0,0.09990663261042423,33184415.759641033,0.45,-6.1404601644172025,-0.25928436622159773,0.011,0.04,0.0,2.577049967800078,0.09
845,0.0,0.09990663261042423,33184415.759641033,0.42,-5.685580385048902,-0.41245107500058076,0.024,0.1,0.0,2.647553924957032,0.04
845,0.0,0.09990663261042423,41761346.72797931,0.45,-6.1404601644172025,-0.25928436622159773,0.018,0.13,0.0,2.672753677331678,0.07
845,0.0,0.09990663261042423,41761346.72797931,0.45,-5.685580385048902,-0.3067150704567288,0.027,0.11,0.0,2.647553924957032,0.12
845,0.0,0.09990663261042423,41761346.72797931,0.45,-6.649145309848455,-0.39371605445286856,0.01,0.06,0.0,2.577049967800078,0.06
845,0.0,0.09990663261042423,41761346.72797931,0.44,-6.649145309848455,-0.21498190490746694,0.021,0.02,0.0,2.6082567867567765,0.1
845,0.0,0.09990663261042423,41761346.72797931,0.42,-7.86602829251651,-0.27473041661123454,0.022,0.02,0.0,2.6082567867567765,0.11
845,0.0,0.09990663261042423,41761346.72797931,0.48,-6.1404601644172025,-0.323280777877089,0.024,0.1,0.0,2.672753677331678,0.08
845,0.0,0.09990663261042423,41761346.72797931,0.47,-6.1404601644172025,-0.37544900805203946,0.015,0.04,0.0,2.577049967800078,0.04
845,0.0,0.09990663261042423,41761346.72797931,0.43,-7.86602829251651,-0.20085480542780407,0.017,0.12,0.0,2.672753677331678,0.06
845,0.0,0.09990663261042423,41761346.72797931,0.49,-5.685580385048902,-0.24418550425050461,0.027,0.09,0.0,2.647553924957032,0.13
845,0.0,0.09990663261042423,41761346.72797931,0.45,-6.1404601644172025,-0.25928436622159773,0.011,0.04,0.0,2.577049967800078,0.09
845,0.0,0.09990663261042423,41761346.72797931,0.42,-5.685580385048902,-0.41245107500058076,0.024,0.1,0.0,2.647553924957032,0.04
825,0.0,0.09990663261042423,25846489.75389051,0.55,-7.220659806322844,-0.3067150704567288,0.018,0.09,0.0,2.672753677331678,0.07
825,0.0,0.09990663261042423,25846489.75389051,0.54,-5.685580385048902,-0.3067150704567288,0.022,0.12,0.0,2.647553924957032,0.08
825,0.0,0.09990663261042423,25846489.75389051,0.52,-4.575345838200093,-0.20085480542780407,0.016,0.04,0.0,2.6082567867567765,0.12
825,0.0,0.09990663261042423,25846489.75389051,0.56,-5.685580385048902,-1.5156590370420044,0.019,0.13,0.0,2.585509456738121,0.06
825,0.0,0.09990663261042423,25846489.75389051,0.54,-9.43599561394987,-0.323280777877089,0.013,0.01,0.0,2.6082567867567765,0.1
825,0.0,0.09990663261042423,25846489.75389051,0.57,-7.220659806322844,-0.3402479649868885,0.018,0.12,0.0,2.672753677331678,0.08
825,0.0,0.09990663261042423,25846489.75389051,0.53,-4.272606675877854,-0.20085480542780407,0.019,0.12,0.0,2.647553924957032,0.09
825,0.0,0.09990663261042423,25846489.75389051,0.57,-4.272606675877854,-0.21498190490746694,0.024,0.1,0.0,2.647553924957032,0.1
825,0.0,0.09990663261042423,25846489.75389051,0.56,-6.1404601644172025,-0.45140183248842874,0.009,0.1,0.0,2.577049967800078,0.06
825,0.0,0.09990663261042423,25846489.75389051,0.52,-8.598838065875096,-0.24418550425050461,0.021,0.1,0.0,2.672753677331678,0.09
825,0.0,0.09990663261042423,25846489.75389051,0.54,-5.277059877750306,-0.41245107500058076,0.017,0.1,0.0,2.577049967800078,0.08
825,0.0,0.09990663261042423,33184415.759641033,0.55,-7.220659806322844,-0.3067150704567288,0.018,0.09,0.0,2.672753677331678,0.07
825,0.0,0.09990663261042423,33184415.759641033,0.54,-5.685580385048902,-0.3067150704567288,0.022,0.12,0.0,2.647553924957032,0.08
825,0.0,0.09990663261042423,33184415.759641033,0.52,-4.575345838200093,-0.20085480542780407,0.016,0.04,0.0,2.6082567867567765,0.12
825,0.0,0.09990663261042423,33184415.759641033,0.56,-5.685580385048902,-1.5156590370420044,0.019,0.13,0.0,2.585509456738121,0.06
825,0.0,0.09990663261042423,33184415.759641033,0.54,-9.43599561394987,-0.323280777877089,0.013,0.01,0.0,2.6082567867567765,0.1
825,0.0,0.09990663261042423,33184415.759641033,0.57,-7.220659806322844,-0.3402479649868885,0.018,0.12,0.0,2.672753677331678,0.08
825,0.0,0.09990663261042423,33184415.759641033,0.53,-4.272606675877854,-0.20085480542780407,0.019,0.12,0.0,2.647553924957032,0.09
825,0.0,0.09990663261042423,33184415.759641033,0.57,-4.272606675877854,-0.21498190490746694,0.024,0.1,0.0,2.647553924957032,0.1
825,0.0,0.09990663261042423,33184415.759641033,0.56,-6.1404601644172025,-0.45140183248842874,0.009,0.1,0.0,2.577049967800078,0.06
825,0.0,0.09990663261042423,33184415.759641033,0.52,-8.598838065875096,-0.24418550425050461,0.021,0.1,0.0,2.672753677331678,0.09
825,0.0,0.09990663261042423,33184415.759641033,0.54,-5.277059877750306,-0.41245107500058076,0.017,0.1,0.0,2.577049967800078,0.08
825,0.0,0.09990663261042423,41761346.72797931,0.55,-7.220659806322844,-0.3067150704567288,0.018,0.09,0.0,2.672753677331678,0.07
825,0.0,0.09990663261042423,41761346.72797931,0.54,-5.685580385048902,-0.3067150704567288,0.022,0.12,0.0,2.647553924957032,0.08
825,0.0,0.09990663261042423,41761346.72797931,0.52,-4.575345838200093,-0.20085480542780407,0.016,0.04,0.0,2.6082567867567765,0.12
825,0.0,0.09990663261042423,41761346.72797931,0.56,-5.685580385048902,-1.5156590370420044,0.019,0.13,0.0,2.585509456738121,0.06
825,0.0,0.09990663261042423,41761346.72797931,0.54,-9.43599561394987,-0.323280777877089,0.013,0.01,0.0,2.6082567867567765,0.1
825,0.0,0.09990663261042423,41761346.72797931,0.57,-7.220659806322844,-0.3402479649868885,0.018,0.12,0.0,2.672753677331678,0.08
825,0.0,0.09990663261042423,41761346.72797931,0.53,-4.272606675877854,-0.20085480542780407,0.019,0.12,0.0,2.647553924957032,0.09
825,0.0,0.09990663261042423,41761346.72797931,0.57,-4.272606675877854,-0.21498190490746694,0.024,0.1,0.0,2.647553924957032,0.1
825,0.0,0.09990663261042423,41761346.72797931,0.56,-6.1404601644172025,-0.45140183248842874,0.009,0.1,0.0,2.577049967800078,0.06
825,0.0,0.09990663261042423,41761346.72797931,0.52,-8.598838065875096,-0.24418550425050461,0.021,0.1,0.0,2.672753677331678,0.09
825,0.0,0.09990663261042423,41761346.72797931,0.54,-5.277059877750306,-0.41245107500058076,0.017,0.1,0.0,2.577049967800078,0.08
870,0.0,0.09990663261042423,25846489.75389051,0.43,-6.649145309848455,-0.3402479649868885,0.022,1.12,0.0,2.672753677331678,0.03
870,0.0,0.09990663261042423,25846489.75389051,0.42,-5.277059877750306,-0.39371605445286856,0.01,0.96,0.0,2.607660061432471,0.01
870,0.0,0.09990663261042423,25846489.75389051,0.4,-3.99679276843631,-0.27473041661123454,0.012,1.1,0.0,2.6367030911719795,0.02
870,0.0,0.09990663261042423,25846489.75389051,0.42,-7.86602829251651,-0.37544900805203946,0.016,1.06,0.0,2.672753677331678,0.03
870,0.0,0.09990663261042423,25846489.75389051,0.39,-6.1404601644172025,-0.3576319871276518,0.011,0.98,0.0,2.607660061432471,0.01
870,0.0,0.09990663261042423,25846489.75389051,0.42,-3.744752613247086,-0.22942183149419262,0.014,1.09,0.0,2.6367030911719795,0.01
870,0.0,0.09990663261042423,25846489.75389051,0.42,-5.685580385048902,-0.27473041661123454,0.01,0.94,0.0,2.607660061432471,0.03
870,0.0,0.09990663261042423,25846489.75389051,0.4,-3.744752613247086,-0.25928436622159773,0.013,1.09,0.0,2.6367030911719795,0.02
870,0.0,0.09990663261042423,33184415.759641033,0.43,-6.649145309848455,-0.3402479649868885,0.022,1.12,0.0,2.672753677331678,0.03
870,0.0,0.09990663261042423,33184415.759641033,0.42,-5.277059877750306,-0.39371605445286856,0.01,0.96,0.0,2.607660061432471,0.01
870,0.0,0.09990663261042423,33184415.759641033,0.4,-3.99679276843631,-0.27473041661123454,0.012,1.1,0.0,2.6367030911719795,0.02
870,0.0,0.09990663261042423,33184415.759641033,0.42,-7.86602829251651,-0.37544900805203946,0.016,1.06,0.0,2.672753677331678,0.03
870,0.0,0.09990663261042423,33184415.759641033,0.39,-6.1404601644172025,-0.3576319871276518,0.011,0.98,0.0,2.607660061432471,0.01
870,0.0,0.09990663261042423,33184415.759641033,0.42,-3.744752613247086,-0.22942183149419262,0.014,1.09,0.0,2.6367030911719795,0.01
870,0.0,0.09990663261042423,33184415.759641033,0.42,-5.685580385048902,-0.27473041661123454,0.01,0.94,0.0,2.607660061432471,0.03
870,0.0,0.09990663261042423,33184415.759641033,0.4,-3.744752613247086,-0.25928436622159773,0.013,1.09,0.0,2.6367030911719795,0.02
870,0.0,0.09990663261042423,41761346.72797931,0.43,-6.649145309848455,-0.3402479649868885,0.022,1.12,0.0,2.672753677331678,0.03
870,0.0,0.09990663261042423,41761346.72797931,0.42,-5.277059877750306,-0.39371605445286856,0.01,0.96,0.0,2.607660061432471,0.01
870,0.0,0.09990663261042423,41761346.72797931,0.4,-3.99679276843631,-0.27473041661123454,0.012,1.1,0.0,2.6367030911719795,0.02
870,0.0,0.09990663261042423,41761346.72797931,0.42,-7.86602829251651,-0.37544900805203946,0.016,1.06,0.0,2.672753677331678,0.03
870,0.0,0.09990663261042423,41761346.72797931,0.39,-6.1404601644172025,-0.3576319871276518,0.011,0.98,0.0,2.607660061432471,0.01
870,0.0,0.09990663261042423,41761346.72797931,0.42,-3.744752613247086,-0.22942183149419262,0.014,1.09,0.0,2.6367030911719795,0.01
870,0.0,0.09990663261042423,41761346.72797931,0.42,-5.685580385048902,-0.27473041661123454,0.01,0.94,0.0,2.607660061432471,0.03
870,0.0,0.09990663261042423,41761346.72797931,0.4,-3.744752613247086,-0.25928436622159773,0.013,1.09,0.0,2.6367030911719795,0.02
870,0.0,0.09990663261042423,25846489.75389051,0.36,-4.272606675877854,-0.3576319871276518,0.017,1.01,0.16,2.607660061432471,0.08
870,0.0,0.09990663261042423,25846489.75389051,0.35,-4.272606675877854,-0.41245107500058076,0.019,1.03,0.15,2.6462094352717696,0.0
870,0.0,0.09990663261042423,25846489.75389051,0.36,-5.277059877750306,-0.25928436622159773,0.012,1.03,0.17,2.6367030911719795,0.0
870,0.0,0.09990663261042423,25846489.75389051,0.36,-7.220659806322844,-0.22942183149419262,0.014,0.99,0.16,2.561369674367521,0.02
870,0.0,0.09990663261042423,25846489.75389051,0.34,-6.1404601644172025,-0.37544900805203946,0.019,1.01,0.17,2.5546436596578896,0.08
870,0.0,0.09990663261042423,25846489.75389051,0.36,-3.106099627423881,-0.3402479649868885,0.016,0.97,0.15,2.597391654508635,0.02
870,0.0,0.09990663261042423,25846489.75389051,0.37,-7.220659806322844,-0.21498190490746694,0.012,1.09,0.16,2.561369674367521,0.01
870,0.0,0.09990663261042423,25846489.75389051,0.35,-6.1404601644172025,-0.24418550425050461,0.02,0.99,0.19,2.6367030911719795,0.03
870,0.0,0.09990663261042423,25846489.75389051,0.35,-6.1404601644172025,-0.39371605445286856,0.02,1.06,0.17,2.672753677331678,0.05
870,0.0,0.09990663261042423,25846489.75389051,0.33,-5.277059877750306,-0.43167300433255607,0.015,0.99,0.18,2.582232597244957,0.03
